join_id,Protein_mg_per_g_mean,PE_mg_per_g_sample_mean,PE_pred_run2_mg_per_g_mean,Location,region,variety,Life_S,carb_mg_per_g_mean,ash_per_mean,car_per,t_rep_number,Kappa_Index,Iota_Index,Lambda_Index,
Lab_01,34.84107333,0.034042583,0.103016869,Mendieta,Paracas,C.Cham,Gam/Tetra,103.0784323,0.329627451,0.286706835,2,0.733333333,0.621587302,1.186031746,
Lab_02,18.05473591,0.010444476,0.011088456,Mendieta,Paracas,C.Cham,Gam/Tetra,81.34428513,0.286706835,0.264732884,2,0.499003322,0.500996678,0.987375415,
Lab_03,40.08826748,0.028719261,0.025484899,Mendieta,Paracas,C.Cham,Carp,84.85941198,0.264732884,0.449679012,2,0.685496183,0.554198473,1.074300254,
Lab_04,23.15542272,0.011359595,0.044878286,Mendieta,Paracas,C.Cham,Carp,NA,NA,0.443933981,2,0.706939591,0.550174738,1.049925112,
Lab_05,28.84650298,0.016262163,0.02936627,Mendieta,Paracas,C.Cham,Gam/Tetra,NA,NA,NA,NA,0.698490412,0.528355773,1.007343941,
Lab_06,47.33585195,0.075460658,0.04410412,Concession,Paracas,C.Cham,Gam/Tetra,NA,NA,0.248,2,0.710194731,0.565292096,1.08419244,
Lab_07,27.80950533,0.084308119,0.165764726,Concession,Paracas,C.Cham,Gam/Tetra,NA,NA,0.278283867,1,0.661305582,0.539735099,1.037369915,
Lab_08,24.74591983,0.044102739,0.044750625,Concession,Paracas,C.Cham,Gam/Tetra,66.18429779,0.275950353,0.220359305,1,0.467110126,0.501478197,0.950849963,
Lab_09,31.59558111,0.112017687,0.027133369,Concession,Paracas,C.Cham,Gam/Tetra,82.90386447,0.256681,0.301,NA,0.648648649,0.561711712,1.094594595,
Lab_10,30.03207345,0.044780045,0.057039486,Mendieta,Paracas,F. Glom,Gam/Tetra,72.32186779,0.229698578,0.150753108,2,0.661934339,0.550133097,1.068322981,
Lab_11,34.08688314,0.035612903,0.044246421,Mendieta,Paracas,F. Glom,Gam/Tetra,81.90695768,0.248500619,0.339376029,1,0.673205989,0.626742385,1.20547238,
Lab_12,41.63540375,0.010324752,0.013612401,Mendieta,Paracas,F. Glom,Gam/Tetra,71.10911331,0.218116517,0.121213929,1,0.720849802,0.611660079,1.178853755,
Lab_13,40.2608473,0.038174505,0.072683262,Caro Caido,Marcona,C.Cham,Gam/Tetra,76.09319789,0.353280771,0.283916527,1,0.2566313,0.104774536,0.398541114,
Lab_14,36.98286139,0.01825022,0.022593196,Caro Caido,Marcona,C.Cham,Carp,67.85083318,0.327171837,0.629862306,1,0.378306878,0.094356261,0.181657848,
Lab_15,26.31895377,0.036609334,0.035460632,Caro Caido,Marcona,C.Cham,Gam/Tetra,67.85083318,0.327171837,0.521604301,2,0.67314578,0.533503836,1.044501279,
Lab_16,28.2331816,0.004748027,0.015888636,7H,Marcona,F. Glom,Carp,96.9043729,0.236040661,0.444302571,2,0.71655753,0.5696913,1.086529467,
Lab_17,20.62695508,0.003434966,0.012291282,7H,Marcona,F. Glom,Gam/Tetra,87.11975079,0.264146917,0.509821074,1,0.689674523,0.624579125,1.219416386,
Lab_18,30.43768327,0.018577763,0.01781761,7H,Marcona,F. Glom,Carp,NA,NA,0.339779833,1,0.776223776,0.721153846,1.36013986,
Lab_19,42.12577077,0.011828808,0.01542484,7H,Marcona,F. Glom,Gam/Tetra,104.4871374,0.297002478,0.565391655,1,0.70368393,0.571276028,1.087560064,
Lab_20,27.11300608,0.058911836,0.034866831,Powder Ilo,Ilo,C.Cham,Unknown,79.51384246,0.385201224,0.708213455,NA,0.694405594,0.57972028,1.121678322,
Lab_21,30.21804466,0.13190191,0.207278063,Powder Ilo,Ilo,C.Cham,Unknown,70.90114992,0.369256637,0.61377,NA,0.702453988,0.581288344,1.112730061,
Lab_22,27.67381636,0.112733391,0.198425515,Powder Ilo,Ilo,C.Cham,Unknown,70.26239684,0.372214,0.644241302,1,0.63929471,0.501763224,0.953652393,
Lab_23,45.7817997,0.064233946,0.073593288,Ilo mariculture,Ilo,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_24,36.07278256,0.048519058,0.058791022,Ilo mariculture,Ilo,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_25,45.59916924,0.011101929,0.012365068,Ilo mariculture,Ilo,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_26,35.96267722,0.08805873,0.113495634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lab_35,37.85569561,0.022377506,0.034340375,Mendieta,Paracas,C.Cham,Carp,NA,NA,NA,NA,NA,NA,NA,NA
Lab_36,34.41629131,0.028137322,0.027791,Mendieta,Paracas,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_37,43.02142239,0.203236978,0.220206402,Mendieta,Paracas,C.Cham,Carp,NA,NA,NA,NA,NA,NA,NA,NA
Lab_38,28.55857212,0.013449684,0.015305962,Mendieta,Paracas,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_39,48.72481543,0.063230256,0.069648086,Mendieta,Paracas,F. Glom,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_40,47.26589511,0.030128483,0.047514081,Mendieta,Paracas,F. Glom,Carp,NA,NA,NA,NA,NA,NA,NA,NA
Lab_41,44.2785972,0.091988693,0.114522194,Mendieta,Paracas,F. Glom,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_42,32.70687205,0.062085426,0.077156677,Mendieta,Paracas,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_43,32.63620416,0.066548045,0.185301585,Concession,Paracas,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_44,32.6531779,0.12315847,0.140648249,Concession,Paracas,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_45,30.26309487,0.08471248,0.087978019,Caro Caido,Marcona,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_46,43.51466724,0.034904078,0.049263275,Caro Caido,Marcona,C.Cham,Carp,NA,NA,NA,NA,NA,NA,NA,NA
Lab_48,41.84823553,0.083119231,0.097126296,7H,Marcona,F. Glom,Carp,NA,NA,NA,NA,NA,NA,NA,NA
Lab_49,48.16012872,0.062042234,0.079365861,7H,Marcona,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_50,31.53397987,0.023044979,0.025122704,7H,Marcona,F. Glom,Carp,NA,NA,NA,NA,NA,NA,NA,NA
Lab_51,NA,0.027819533,0.037621504,7H,Marcona,C.Cham,Carp,NA,NA,NA,NA,NA,NA,NA,NA
Lab_57,NA,0.098595147,0.114705781,NA,Paracas,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
Lab_58,NA,0.055705762,0.05665211,R02,Lima Market Freeze Dry,C.Cham,Gam,NA,NA,NA,NA,NA,NA,NA,NA
Lab_59,NA,0.047487179,0.049057436,R03,Lima Market Freeze Dry,C.Cham,Gam,NA,NA,NA,NA,NA,NA,NA,NA
Lab_60,NA,0.03253481,0.040643211,R01,Lima Market Oven Dry,C.Cham,Gam,NA,NA,NA,NA,NA,NA,NA,NA
Lab_61,NA,0.043516094,0.04766341,R02,Lima Market Oven Dry,C.Cham,Gam,NA,NA,NA,NA,NA,NA,NA,NA
Lab_62,NA,0.043619793,0.032173647,R03,Lima Market Freeze Dry,C.Cham,Gam,NA,NA,NA,NA,NA,NA,NA,NA
Lab_63,NA,0.070106767,0.073306636,NA,Ilo,C.Cham,Gam/Tetra,NA,NA,NA,NA,NA,NA,NA,NA
