ID,Sample Code,Location,region,variety,Life_S,car_per,
Lab_01,R01,Mendieta,Paracas,C.Cham,Tetra,0.460405765,
Lab_02,R02,Mendieta,Paracas,C.Cham,Tetra,0.071655942,
Lab_03,R04,Mendieta,Paracas,C.Cham,Carp,0.449679012,
Lab_04,R02,Mendieta,Paracas,C.Cham,Carp,0.443933981,
Lab_05,R05,Mendieta,Paracas,C.Cham,Gam,,
Lab_06,R04,Concession,Paracas,C.Cham,Gam,0.068526329,
Lab_07,R01,Concession,Paracas,C.Cham,Gam,0.278283867,
Lab_08,R03,Concession,Paracas,C.Cham,Gam,0.220359305,
Lab_09,R02,Concession,Paracas,C.Cham,Gam/Tetra,,
Lab_10,R01,Mendieta,Paracas,F. Glom,Gam/Tetra,0.150753108,
Lab_11,R02,Mendieta,Paracas,F. Glom,Gam/Tetra,0.339376029,
Lab_12,R03,Mendieta,Paracas,F. Glom,Gam/Tetra,0.121213929,
Lab_13,R01,Caro Caido,Marcona,C.Cham,Tetra,0.283916527,
Lab_14,R02,Caro Caido,Marcona,C.Cham,Carp,0.629862306,
Lab_15,R03,Caro Caido,Marcona,C.Cham,Gam,0.521604301,
Lab_16,R01,7H,Marcona,F. Glom,Carp,0.444302571,
Lab_17,R02,7H,Marcona,F. Glom,Gam/Tetra,0.509821074,
Lab_18,R04,7H,Marcona,F. Glom,Carp,0.339779833,
Lab_19,R04,7H,Marcona,F. Glom,Gam/Tetra,0.565391655,
Lab_20,R01,Powder Ilo,Ilo,C.Cham,Unknown,0.631127,
Lab_21,R02 ,Powder Ilo,Ilo,C.Cham,Unknown,0.644241302,
Lab_22,R03,Powder Ilo,Ilo,C.Cham,Unknown,0.65508,
